id,predicted_price
1000102,310877.4579
3600072,613729.0963
3800008,331748.0175
6200017,232757.2913
7200179,235068.0936
7600065,507001.0486
11501160,711920.8589
11520200,687612.0207
11520640,714911.9354
13001215,248225.3215
16000015,230960.393
16000200,257833.4878
23500190,573607.4484
23520380,490779.2389
31000165,1204416.526
34001765,562262.2374
40000228,211773.9293
40000362,210782.4518
40000553,260861.0148
42000127,294174.7599
50300090,365118.6659
52000067,689133.4846
65000260,723585.8961
66000070,302958.217
66000265,334097.9397
87000213,266166.6807
87000245,259176.0032
87000283,330810.567
88000173,348072.5273
98000060,1225686.894
100100050,323713.9835
100300500,361075.9889
100600320,243314.9155
100600860,230720.4277
104500730,244576.9194
104510180,272018.958
104510230,273627.9766
104510440,284352.5442
104540820,254354.6426
104550690,318982.5827
104560120,308967.23
106000015,431397.6869
106000395,438191.907
108000127,442190.0109
109200390,260425.4061
112900020,355025.9933
114100234,452082.6943
114100763,321477.4417
114101426,338949.4957
117000100,564409.2973
121059007,271223.9752
121059038,374611.134
122029066,504381.5482
123039147,406905.0984
123039207,356240.659
123039279,226623.4909
123039346,285649.5557
123039364,260465.2931
123039570,401888.8238
123039633,322341.4783
125059179,636631.8858
126039252,428460.4621
126039323,474515.7811
126059225,540022.5474
151000075,650499.4845
162500015,457017.1921
162500030,322024.6863
173000025,349554.8329
173000036,362014.7839
173000140,428295.8532
179003055,245003.1584
185000161,300083.4295
191100235,970672.1443
194000575,478414.7607
200500410,505699.216
200800330,477015.3075
203600470,601603.3791
203900460,450479.3185
205000120,640528.8384
207700050,577369.8244
217500005,436712.3393
217500015,402942.1683
217500140,631117.8308
224069102,542674.8182
224069114,642384.7957
225039049,585858.8316
225039082,778895.0391
226039186,353883.5786
226059065,545838.6697
226059096,913580.2209
236500050,326113.1157
238000244,368441.9173
239000115,524758.8065
240000130,622326.8882
240000269,428930.8134
248000240,220019.2144
249000180,1604878.167
251200240,458119.8114
251300110,330153.6505
251500330,2392049.418
253600180,430146.3228
254000075,401674.8206
254000100,533949.0472
254000695,338787.1633
255450020,381626.9155
255450250,339260.6844
255450400,357343.4405
255520180,658026.3474
255550070,349944.4907
257000037,320055.6103
257000105,233146.533
259000240,477829.541
259600620,514914.256
259600790,423503.7501
259601010,433402.2507
259800060,470590.2754
263000006,432933.6393
263000018,432940.215
263000155,440533.7301
263000253,412731.9312
269000030,960837.6977
269000970,1237756.684
271200130,273463.3911
273800100,272535.9645
273900030,276478.3581
274100090,387594.3031
280610020,738753.7168
284000095,705282.4631
287000110,521915.8707
290000075,408621.0025
290200230,696449.3061
291300010,380976.5294
291310100,433311.4054
291310150,406990.8663
291310170,428123.065
291310310,564083.1336
291310340,577340.4948
291310390,418630.8973
293000145,418875.9968
293610040,591302.4585
293620220,858300.2847
293700110,763868.9065
293760150,984428.1336
293810190,456367.0114
293850040,662970.9609
301400830,280631.3941
301401370,334651.8915
301402280,252713.5823
302000065,223228.2604
302000375,245901.5529
304000380,224038.672
305000170,655251.8016
305010050,692168.4196
318300040,698863.4639
318500300,659066.0751
318900080,381010.0252
319500080,710136.5707
320069049,324308.5269
321030150,308469.1539
321100260,860400.1707
322059097,282596.4393
322059264,254999.4882
322069020,452480.5702
322069109,400636.5778
322069141,465388.7788
322069180,635021.2741
323059103,340250.6609
323059208,458703.0928
323089085,531416.8894
323089172,415124.3558
324000280,568194.8075
324000530,483017.413
324059161,785087.5577
326049038,505288.4891
326049060,502322.1802
326049103,481176.4381
326069131,612968.862
326069132,513399.5153
327000100,965934.6524
333100209,672149.1784
339350150,629604.8953
339600110,463582.6696
339600290,378438.8553
342000036,527077.5932
345700040,294995.2472
357000005,499023.2635
357000025,529579.6884
357000135,872750.1156
369000365,388189.3472
369000690,448251.1029
379000051,301513.2104
384000135,475389.4995
393000142,344649.0817
396100025,386646.279
396100110,295591.4778
402000115,308555.4389
405100165,418332.157
414100045,442590.2027
414100630,343277.4806
418000010,254318.1197
420000085,272150.4699
421000285,303423.7428
421000455,285356.4377
421049114,223405.731
421059018,286246.6632
422049178,261521.621
422049203,251375.1881
422069067,394112.1044
423059207,273301.3777
423059387,529704.5987
424049043,824997.6852
424069018,1595996.692
424069096,478153.833
424069112,699906.6283
424069206,675769.0881
424069264,690636.1175
425059024,572478.7176
425069020,916207.6271
425069139,616735.8639
425079001,595299.483
425079100,382399.2318
425200205,248105.1386
426059055,485628.9467
431500155,641944.4399
434000030,666400.1287
438000015,679884.0099
438000025,657262.9022
441000115,438488.3555
446000010,604696.4853
446000190,714886.6162
452001475,436690.2656
452001860,521864.3734
461004720,546302.3237
475000176,440176.6599
475000190,509834.0282
475000510,523998.7651
476000017,504353.5657
476000333,465758.9322
507100005,427220.9307
510000641,674881.3977
510001280,704382.4449
511700170,298687.4561
514500090,553581.5608
514500235,402997.7653
518500460,1448005.835
518500700,643282.9736
519000043,549730.7759
521049227,730534.7897
522049074,381458.7604
522049104,313867.8055
522049122,267392.5894
522059130,251842.1452
522059172,247554.8234
522059189,255419.4536
522059299,247304.284
522069022,546282.8822
522069119,527460.6979
522079022,553544.6304
523049195,224965.0161
524059063,1622343.306
524059322,789535.9742
524059323,789536.8611
524069011,598676.7101
524069049,561512.3656
524069115,717031.6796
524069116,534315.1295
525049085,631786.8919
525069127,1036482.225
525069133,782141.6555
526059103,342404.3117
526059183,442290.8897
526069024,816091.6171
534000080,312716.3762
537000255,313347.1625
540100057,1276797.129
546000400,531728.346
546000930,672152.0308
546001060,595217.8393
558100090,475564.6899
567000755,471183.3778
567000775,423260.4629
569000050,596205.7913
579000550,521946.9124
582000135,545620.3509
582000185,620302.0671
585000095,664861.9452
587550010,552178.9036
587800130,298685.1261
597000550,428374.1463
597000566,384636.6188
597000593,376508.2791
603000555,412891.7662
616000200,386365.6492
619000100,408942.791
621069039,290218.4375
621069102,251263.3903
621069218,388125.6803
622069006,1056451.515
623049185,279403.7208
624069003,798095.9546
624100950,765637.0777
624101110,819938.7748
624110020,811944.2302
624110610,953388.4107
624110920,836625.5337
626049058,464321.7371
626059317,385840.8172
626059335,471867.3159
626100023,735084.4087
626400020,615232.3902
627300105,793487.9811
629000605,915669.6216
629000730,673871.3052
629410130,793277.8964
629410180,731566.2165
629410190,732320.2844
629800380,1023991.068
629810350,782441.661
629810720,791769.4278
629810800,872463.2339
629811340,690994.2724
629811600,699538.1568
631000040,589598.9987
635000009,918816.671
638100015,341990.0414
641900050,451412.3244
642150080,528826.373
642500080,381475.1928
642800130,714830.6719
643000110,262898.1715
643300010,532785.4095
644200065,896680.3251
644210020,935440.7952
646910160,264650.9324
646910560,308179.8715
647100096,820626.5393
650000030,663374.9822
662310900,363063.4595
662350050,718938.6332
662440020,380355.4622
666000142,798146.2118
666000143,798013.4778
669000210,810080.8455
686050100,721159.5581
686200490,532557.0396
686200510,553730.6374
686300880,598053.1163
686400210,518318.7008
686530170,588177.4994
686530530,607426.9394
686800065,822061.8209
